CHỈ TIÊU,Biên lợi nhuận gộp,Biên lợi nhuận ròng,P/E,EPS (VNĐ/CP),Tăng trưởng EPS,ROE LTM,Nợ phải trả / Vốn chủ sở hữu,Khả năng thanh toán tổng quát,Vòng quay tài sản (vòng),Giá trị sổ sách (VNĐ/CP),Giá đóng cửa,Thay đổi giá,% thay đổi
Q3/2024,41.2,15.47,15.69,1150.03,-3.56,27.89,63.65,2.57,0.28,15010.41,68946.07095238095,5529.928952380935,8.720065235726482
Q2/2024,42.43,16.19,14.97,1277.77,21.45,26.1,41.36,3.42,0.31,16433.9,63416.142000000014,-1265.7324999999837,-1.9568580994046236
Q1/2024,41.89,15.64,16.02,1050.1,18.2,26.49,44.01,3.27,0.27,15241.55,64681.8745,533.0555526315875,0.8309670565703531
Q4/2023,41.24,15.05,17.17,1112.95,24.44,26.59,50.38,2.98,0.29,15166.26,64148.81894736841,-7060.6980526315965,-9.91538540084691
Q3/2023,41.92,16.2,18.93,1192.49,8.43,25.17,61.65,2.62,0.3,14668.05,71209.517,7479.7950952380925,11.736745229197677
Q2/2023,40.48,14.67,17.92,1052.09,5.56,22.67,39.03,3.56,0.3,16013.85,63729.721904761915,-3945.2133333333186,-5.829652173959521
Q1/2023,38.78,13.7,18.77,888.41,-18.04,23.6,42.75,3.34,0.28,15072.85,67674.93523809523,-3532.1279197995027,-4.9603617438446435
Q4/2022,38.79,12.4,18.43,894.34,-14.89,24.98,47.74,3.09,0.3,14282.15,71207.06315789474,5937.703157894721,9.097229018171337
Q3/2022,39.49,14.45,16.2,1099.74,-21.44,26.35,51.28,2.95,0.31,14900.52,65269.360000000015,2602.327142857146,4.152625430327084
Q2/2022,40.7,14.08,14.62,996.66,-26.52,26.85,46.23,3.16,0.28,16333.35,62667.03285714287,-4233.773142857142,-6.32843368562277
Q1/2022,40.53,16.45,16.07,1084.0,-12.05,29.94,51.51,2.94,0.26,15406.05,66900.80600000001,-5728.772499999992,-7.887657643504009
Q4/2021,42.51,13.99,17.58,1050.74,0.5,30.6,48.76,3.05,0.3,15829.66,72629.5785,-3344.6143571428693,-4.402303244513406
Q3/2021,42.88,18.28,17.08,1399.92,-4.93,32.5,53.71,2.86,0.31,14878.97,75974.19285714287,1505.3033333333588,2.0213854979696855
Q2/2021,43.61,18.21,17.59,1356.39,-7.73,32.47,54.32,2.84,0.3,15131.73,74468.88952380951,-8143.95904761905,-9.8579811596469
Q1/2021,43.63,19.69,20.12,1232.52,-22.37,33.4,50.31,2.99,0.27,14991.71,82612.84857142856,,
